Title: The Influential Effect of Blending, Bump, Changing 
       Period, and Eclipsing Cepheids on the Leavitt Law  
Authors: Garcia-Varela A., Munoz J.R., Sabogal B.E., 
         Vargas Dominguez S., Martinez J.
Table: Bi-dimensional classification of OGLE-II Magellanic Clouds Cepheids
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label   Explanations
--------------------------------------------------------------------------------
   1-  2 I2     h      RAh     Hour of Right Ascension (J2000)
   4-  5 I2     min    RAm     Minute of Right Ascension (J2000)
   7- 11 F5.2   s      RAs     Second of Right Ascension (J2000)
  13- 13 A1     ---    DE-     Sign of the Declination (J2000)
  14- 15 I2     deg    DEd     Degree of Declination (J2000)
  17- 18 I2     arcmin DEm     Arcminude of Declination (J2000)
  20- 23 F4.1   arcsec DEs     Arcsecond of Declination (J2000)
  25- 32 A8     ---    OGLE    THe OGLE-II field (1)
  34- 39 I6     ---    ID      THe OGLE-II identifier
  41- 48 F8.5   d      Period  Period 
  50- 52 A3     ---    Class   The bi-dimensional class (2)
--------------------------------------------------------------------------------
Note (1): These data were reported for the LMC by 
          Udalski et al. (1999a) [1999AcA....49..223U], and for the SMC by 
          Udalski et al. (1999b) [1999AcA....49..437U].
Note (2): An appended "i" identifies the influential Cepheids.
--------------------------------------------------------------------------------
00 43 18.87 -73 20 18.9 SMC-SC3   71354 10.5267  C1i
00 43 21.15 -73 08 42.9 SMC-SC3   88738  1.57204 C2 
00 43 25.20 -72 50 41.4 SMC-SC3  107366  1.44507 C1 
00 43 26.35 -73 15 15.0 SMC-SC3   80155  3.90947 B1 
00 43 28.31 -73 08 37.3 SMC-SC3   88671  1.854   B1 
00 43 29.76 -73 00 08.2 SMC-SC3   96710 13.7069  C1i
00 43 34.57 -73 14 08.6 SMC-SC3   80215  2.43198 B1 
00 43 36.41 -73 38 51.6 SMC-SC3   55117  1.37356 B1 
00 43 37.16 -73 07 43.2 SMC-SC3   88650  3.26238 B1 
00 43 37.75 -72 50 53.1 SMC-SC3  107308  1.25641 B2 
00 43 37.91 -72 59 32.4 SMC-SC3   96765  1.61093 B1 
00 43 38.14 -73 05 00.9 SMC-SC3   92891  1.37984 B2 
00 43 39.11 -73 02 16.1 SMC-SC3   92875  1.61079 B2 
00 43 39.24 -72 52 28.4 SMC-SC3  104121  1.98746 B1 
00 43 39.59 -72 58 08.1 SMC-SC3  100628  1.69913 B2 
00 43 43.19 -72 47 49.8 SMC-SC3  107339  2.40342 B2 
00 43 43.78 -73 05 23.2 SMC-SC3   92883  1.60311 B2 
00 43 47.41 -73 14 25.9 SMC-SC3   80143 10.8829  C1i
00 43 47.59 -73 20 07.0 SMC-SC3   71387  4.89677 B1 
00 43 48.55 -73 36 48.1 SMC-SC3   57549 31.9309  B1i
00 43 51.32 -73 19 57.7 SMC-SC3   71356 14.4288  C1i
00 43 52.80 -73 18 10.9 SMC-SC3   75872  2.13803 B1 
00 43 53.77 -73 14 00.4 SMC-SC3   80217  1.95386 B1 
00 43 55.53 -72 59 44.0 SMC-SC3   96761  1.72305 B2 
00 43 57.39 -73 11 28.9 SMC-SC3   84481  4.65421 B1 
00 43 58.89 -72 58 26.6 SMC-SC3  157140  1.90354 C1i
00 43 59.49 -73 19 50.9 SMC-SC3  130290  2.45025 B2 
00 44 01.91 -73 08 24.9 SMC-SC3  148864  1.67162 B1 
00 44 03.22 -72 55 12.7 SMC-SC3  161229  1.40078 B2 
00 44 03.24 -73 16 36.5 SMC-SC3  134576  3.07164 B2 
00 44 03.29 -73 12 28.9 SMC-SC3  139465  1.96933 B2 
00 44 03.55 -73 15 55.0 SMC-SC3  139412  2.47351 B2 
00 44 03.93 -72 57 06.8 SMC-SC3  161100  2.14759 B1 
00 44 04.59 -73 15 37.0 SMC-SC3  139415  2.17576 B1 
00 44 04.69 -72 56 03.8 SMC-SC3  161207  1.31829 C1 
00 44 04.88 -73 05 08.6 SMC-SC3  152913  1.90993 B1 
00 44 05.73 -73 02 38.6 SMC-SC3  152954  2.02656 B1 
00 44 05.87 -73 10 40.2 SMC-SC3  144425  1.76733 B1 
00 44 10.75 -72 44 41.5 SMC-SC3  172477  1.313   B2 
00 44 11.24 -73 37 36.9 SMC-SC3  113282  1.20545 B2 
00 44 14.36 -73 07 32.6 SMC-SC3  148895  1.81122 B2 
00 44 14.87 -73 20 55.0 SMC-SC3  130215  7.7216  C1 
00 44 15.46 -73 11 37.0 SMC-SC3  144499  1.47518 B3 
00 44 18.92 -73 12 47.9 SMC-SC3  139460  1.48916 B2 
00 44 20.93 -73 11 57.9 SMC-SC3  144487  1.55665 B2 
00 44 21.36 -73 04 41.4 SMC-SC3  152988  1.579   B1 
00 44 23.83 -72 47 01.3 SMC-SC3  172382  2.16006 B1 
00 44 24.09 -73 16 31.0 SMC-SC3  134578  1.68036 B2i
00 44 25.71 -72 45 59.2 SMC-SC3  172452  1.93497 B1 
00 44 26.79 -73 22 45.3 SMC-SC3  130223  6.30058 B1 
00 44 26.94 -72 51 02.7 SMC-SC3  168962  2.5775  B1 
00 44 27.57 -72 53 44.7 SMC-SC3  165218  1.753   B2 
