"field" "id" "period" "subtype" "type"
"217" "SMC-SC3" 202971 1.2111 "B3" "B"
"218" "SMC-SC4" 18792 3.91113 "B2" "B"
"219" "SMC-SC3" 208364 3.91101 "B1" "B"
"220" "SMC-SC4" 22703 1.68695 "B2" "B"
"221" "SMC-SC3" 213116 1.68691 "B3" "B"
"222" "SMC-SC3" 213150 2.24357 "B1" "B"
"223" "SMC-SC4" 26050 2.24353 "B1" "B"
"224" "SMC-SC3" 189247 1.28523 "B2" "B"
"225" "SMC-SC4" 5277 1.2853 "B2" "B"
"226" "SMC-SC4" 8523 1.58978 "B2" "B"
"227" "SMC-SC4" 29292 1.82144 "B1" "B"
"228" "SMC-SC4" 14937 1.7153 "B2" "B"
"229" "SMC-SC4" 35704 1.56414 "B2" "B"
"230" "SMC-SC4" 38956 1.26389 "B2" "B"
"231" "SMC-SC4" 58 2.15394 "B1" "B"
"232" "SMC-SC4" 18845 1.84247 "B1" "B"
"233" "SMC-SC4" 11354 2.10623 "B2" "B"
"234" "SMC-SC4" 38887 1.91467 "B1" "B"
"235" "SMC-SC4" 8213 8.84926 "C1" "C"
"236" "SMC-SC4" 84 1.50491 "B2" "B"
"237" "SMC-SC4" 38857 1.63449 "B2" "B"
"238" "SMC-SC4" 26095 1.71492 "B2" "B"
"239" "SMC-SC4" 32504 1.92764 "B2" "B"
"240" "SMC-SC4" 35959 0.96536 "B2" "B"
"241" "SMC-SC4" 22698 2.26882 "B2" "B"
"242" "SMC-SC4" 2200 8.03958 "C1" "C"
"243" "SMC-SC4" 22683 1.84709 "B2" "B"
"244" "SMC-SC4" 22619 5.63863 "B1" "B"
"245" "SMC-SC4" 22764 1.26986 "B2" "B"
"246" "SMC-SC4" 35657 2.29921 "B2" "B"
"247" "SMC-SC4" 8541 1.20675 "B2" "B"
"248" "SMC-SC4" 22663 2.12377 "B2" "B"
"249" "SMC-SC4" 38845 3.56974 "B1" "B"
"250" "SMC-SC4" 35713 2.07505 "B1" "B"
"251" "SMC-SC4" 26096 1.7293 "B2" "B"
"252" "SMC-SC4" 26068 2.45921 "B1" "B"
"253" "SMC-SC4" 29257 1.8966 "B1" "B"
"254" "SMC-SC4" 41965 1.86388 "B1" "B"
"255" "SMC-SC4" 22705 1.70312 "B2" "B"
"256" "SMC-SC4" 5245 2.12521 "B1" "B"
"257" "SMC-SC4" 11250 5.66227 "C1" "C"
"258" "SMC-SC4" 47131 1.15454 "B2" "B"
"259" "SMC-SC4" 49178 3.68319 "B2" "B"
"260" "SMC-SC4" 5238 2.96573 "B2" "B"
"261" "SMC-SC4" 56826 1.84463 "B2" "B"
"262" "SMC-SC4" 71616 2.29429 "B1" "B"
"263" "SMC-SC4" 94433 0.95084 "B3" "B"
"264" "SMC-SC4" 56758 8.49275 "C1" "C"
"265" "SMC-SC4" 67172 4.98792 "B1" "B"
"266" "SMC-SC4" 60168 2.06415 "B2" "B"
"267" "SMC-SC4" 71623 1.74003 "B1" "B"
"268" "SMC-SC4" 75288 2.29777 "B2" "B"
"269" "SMC-SC4" 82063 2.00789 "B2" "B"
"270" "SMC-SC4" 63473 1.55152 "B2" "B"
"271" "SMC-SC4" 51383 1.66794 "B2" "B"
"272" "SMC-SC4" 85269 2.01 "B1" "B"
"273" "SMC-SC4" 51413 1.86099 "B1" "B"
"274" "SMC-SC4" 85312 1.97035 "B1" "B"
"275" "SMC-SC4" 57046 2.07598 "B2" "B"
"276" "SMC-SC4" 78760 1.72263 "B2" "B"
"277" "SMC-SC4" 57059 1.8427 "B2" "B"
"278" "SMC-SC4" 60176 1.65193 "B2" "B"
"279" "SMC-SC4" 91606 2.13478 "B2" "B"
"280" "SMC-SC4" 75290 2.12923 "B2" "B"
"281" "SMC-SC4" 60346 1.53208 "B1" "B"
"282" "SMC-SC4" 85281 1.96174 "B1" "B"
"283" "SMC-SC4" 67292 1.28943 "B2" "B"
"284" "SMC-SC4" 78612 1.66229 "B1" "B"
"285" "SMC-SC4" 67230 1.71558 "B2" "B"
"286" "SMC-SC4" 75252 6.01123 "C1" "C"
"287" "SMC-SC4" 71543 1.89223 "B2" "B"
"288" "SMC-SC4" 67304 1.56692 "B1" "B"
"289" "SMC-SC4" 81939 10.4446 "C1" "C"
"290" "SMC-SC4" 78539 7.33172 "C1" "C"
"291" "SMC-SC4" 94236 2.39249 "B1" "B"
"292" "SMC-SC4" 56831 1.39474 "B2" "B"
"293" "SMC-SC4" 91595 3.283 "B1" "B"
"294" "SMC-SC4" 82233 1.30993 "B2" "B"
"295" "SMC-SC4" 63467 2.43852 "B1" "B"
"296" "SMC-SC4" 85282 1.56952 "B2" "B"
"297" "SMC-SC4" 49179 4.12661 "B1" "B"
"298" "SMC-SC4" 71674 1.25584 "B2" "B"
"299" "SMC-SC4" 60146 1.88085 "B2" "B"
"300" "SMC-SC4" 85274 2.1712 "B2" "B"
"301" "SMC-SC4" 63728 1.66287 "B2" "B"
"302" "SMC-SC4" 94286 1.63591 "B1" "B"
"303" "SMC-SC4" 63373 8.48287 "C1" "C"
"304" "SMC-SC4" 113691 1.39074 "B2" "B"
"305" "SMC-SC4" 101175 5.09495 "B1" "B"
"306" "SMC-SC4" 120892 1.94448 "B2" "B"
"307" "SMC-SC4" 110580 1.38136 "B2" "B"
"308" "SMC-SC4" 134254 3.13131 "B1" "B"
"309" "SMC-SC4" 127867 4.43143 "B1" "B"
"310" "SMC-SC4" 145356 1.29139 "B2" "B"
"311" "SMC-SC4" 117050 1.90206 "B2" "B"
"312" "SMC-SC4" 113676 1.84525 "B2" "B"
"313" "SMC-SC4" 110307 5.3767 "C3" "C"
"314" "SMC-SC4" 145215 2.02398 "B2" "B"
"315" "SMC-SC4" 140260 1.2232 "B2" "B"
"316" "SMC-SC4" 124509 1.63174 "B2" "B"
"317" "SMC-SC4" 113626 1.98544 "B2" "B"
"318" "SMC-SC4" 130978 23.9644 "B1" "B"
"319" "SMC-SC4" 101254 2.12686 "B2" "B"
"320" "SMC-SC4" 117048 2.13729 "B1" "B"
"321" "SMC-SC4" 121090 1.31178 "B2" "B"
"322" "SMC-SC4" 137264 2.2166 "B1" "B"
"323" "SMC-SC4" 113742 1.34787 "B2" "B"
"324" "SMC-SC4" 110572 1.58568 "B2" "B"
"325" "SMC-SC4" 103713 5.8226 "C1" "C"
"326" "SMC-SC4" 110395 3.12056 "B2" "B"
"327" "SMC-SC4" 103953 1.56004 "B2" "B"
"328" "SMC-SC4" 99120 1.5153 "B1" "B"
"329" "SMC-SC4" 131025 3.04907 "B1" "B"
"330" "SMC-SC4" 110284 5.83268 "C1" "C"
"331" "SMC-SC4" 145239 1.4911 "B2" "B"
"332" "SMC-SC4" 99288 1.03001 "B2" "B"
"333" "SMC-SC4" 142771 4.88494 "B2" "B"
"334" "SMC-SC4" 116966 6.87783 "B1" "B"
"335" "SMC-SC4" 134322 1.7309 "B1" "B"
"336" "SMC-SC4" 137258 4.28741 "B1" "B"
"337" "SMC-SC4" 142848 1.43977 "B2" "B"
"338" "SMC-SC4" 99153 1.12566 "B3" "B"
"339" "SMC-SC4" 120774 27.2479 "C1" "C"
"340" "SMC-SC4" 116934 7.01154 "C1" "C"
"341" "SMC-SC4" 106998 2.65217 "B1" "B"
"342" "SMC-SC4" 101177 3.84924 "B2" "B"
"343" "SMC-SC4" 117207 1.68608 "B2" "B"
"344" "SMC-SC4" 110478 1.30501 "B2" "B"
"345" "SMC-SC4" 127841 6.91866 "C1" "C"
"346" "SMC-SC4" 127957 1.94245 "B2" "B"
"347" "SMC-SC4" 113723 1.74438 "B2" "B"
"348" "SMC-SC4" 99284 1.65696 "B2" "B"
"349" "SMC-SC4" 127950 2.10607 "B1" "B"
"350" "SMC-SC4" 127995 1.55968 "A2" "A"
"351" "SMC-SC4" 195747 2.23714 "B2" "B"
"352" "SMC-SC4" 167210 9.34163 "A2" "A"
"353" "SMC-SC4" 175255 2.58495 "B2" "B"
"354" "SMC-SC4" 153291 1.77195 "B2" "B"
"355" "SMC-SC4" 198664 2.03712 "B2" "B"
"356" "SMC-SC4" 167207 11.7723 "C1" "C"
"357" "SMC-SC4" 198699 2.58424 "B1" "B"
"358" "SMC-SC4" 189914 1.26217 "B2" "B"
"359" "SMC-SC4" 179331 1.04313 "B2" "B"
"360" "SMC-SC4" 189819 3.282 "B2" "B"
"361" "SMC-SC4" 198733 1.11763 "B2" "B"
"362" "SMC-SC4" 159822 15.2835 "C1" "C"
"363" "SMC-SC4" 178939 13.6502 "C1" "C"
"364" "SMC-SC4" 186340 8.37633 "B2" "B"
"365" "SMC-SC4" 156368 1.62528 "B2" "B"
"366" "SMC-SC4" 149945 1.93618 "B2" "B"
"367" "SMC-SC4" 156459 1.75054 "B2" "B"
"368" "SMC-SC4" 179064 1.86602 "B1" "B"
"369" "SMC-SC4" 186441 2.03688 "B1" "B"
"370" "SMC-SC4" 182577 4.19312 "B1" "B"
"371" "SMC-SC4" 149961 1.70359 "B2" "B"
"372" "SMC-SC4" 171488 1.3153 "B2" "B"
"373" "SMC-SC4" 149863 2.1022 "B2" "B"
"374" "SMC-SC4" 182752 1.43217 "B2" "B"
"375" "SMC-SC4" 189805 2.64756 "B1" "B"
"376" "SMC-SC4" 175537 2.29675 "B2" "B"
"377" "SMC-SC4" 186527 1.16391 "B2" "B"
"378" "SMC-SC4" 147587 1.91205 "B2" "B"
"379" "SMC-SC4" 163840 1.50465 "B2" "B"
"380" "SMC-SC4" 192882 2.0072 "B2" "B"
"381" "SMC-SC4" 189757 24.4808 "C1" "C"
"382" "SMC-SC4" 178944 5.75625 "B1" "B"
"383" "SMC-SC4" 175285 1.7613 "B1" "B"
"384" "SMC-SC4" 192931 1.87919 "B1" "B"
"385" "SMC-SC4" 167230 3.90049 "B1" "B"
